Date,Time,Temp,Humidity,Mq2,Mq5,Mq9,Flame,M_gas,M_fire,dangerType,Warning
01/07/2025,00:00:00,28.13,71.27,151.2,304.21,171.96,0,7.52,23.4,An toan,An toan
01/07/2025,00:02:00,27.55,70.47,151.78,320.94,187.96,0,8.99,37.34,An toan,An toan
01/07/2025,00:04:00,28.5,71.63,157.4,323.03,177.78,0,8.48,32.18,An toan,An toan
01/07/2025,00:06:00,28.4,68.67,126.94,296.99,187.5,0,6.36,23.19,An toan,An toan
01/07/2025,00:08:00,29.19,68.72,137.98,354.04,175.94,0,8.83,37.84,An toan,An toan
01/07/2025,00:10:00,28.25,70.55,147.42,340.03,180.64,0,5.2,22.7,An toan,An toan
01/07/2025,00:12:00,28.1,71.43,154.46,293.96,183.65,0,4.17,25.93,An toan,An toan
01/07/2025,00:14:00,27.57,69.69,165.82,357.77,192.76,0,4.02,20.38,An toan,An toan
01/07/2025,00:16:00,27.82,69.12,146.83,295.91,180.28,0,8.07,20.8,An toan,An toan
01/07/2025,00:18:00,28.12,70.64,165.16,327.58,176.65,0,7.98,22.05,An toan,An toan
01/07/2025,00:20:00,27.98,70.57,138.97,326.44,183.95,0,5.47,21.71,An toan,An toan
01/07/2025,00:22:00,27.64,71.07,155.12,320.41,171.78,0,9.02,23.54,An toan,An toan
01/07/2025,00:24:00,27.95,70.54,173.11,326.82,192.48,0,5.37,33.82,An toan,An toan
01/07/2025,00:26:00,28.31,71.06,163.56,332.89,169.19,0,7.11,37.74,An toan,An toan
01/07/2025,00:28:00,27.92,69.19,146.01,326.17,173.58,0,5.0,29.91,An toan,An toan
01/07/2025,00:30:00,27.7,71.98,127.25,361.85,184.91,0,4.59,39.37,An toan,An toan
01/07/2025,00:32:00,26.82,70.75,153.13,316.24,184.16,0,5.67,38.82,An toan,An toan
01/07/2025,00:34:00,28.66,70.1,132.38,309.37,196.24,0,4.31,29.37,An toan,An toan
01/07/2025,00:36:00,27.2,71.05,148.55,291.54,179.11,0,7.9,32.06,An toan,An toan
01/07/2025,00:38:00,28.18,70.52,146.73,349.5,173.61,0,4.51,39.5,An toan,An toan
01/07/2025,00:40:00,28.02,70.6,144.4,324.66,178.4,0,7.32,38.97,An toan,An toan
01/07/2025,00:42:00,28.08,70.49,166.23,343.48,191.8,0,5.99,35.52,An toan,An toan
01/07/2025,00:44:00,27.28,69.63,180.13,292.23,175.35,0,4.24,31.07,An toan,An toan
01/07/2025,00:46:00,28.13,70.02,168.13,291.79,189.71,0,9.6,36.44,An toan,An toan
01/07/2025,00:48:00,28.12,69.49,160.72,314.5,175.31,0,7.21,26.36,An toan,An toan
01/07/2025,00:50:00,29.13,72.33,151.45,309.59,171.7,0,5.74,32.12,An toan,An toan
01/07/2025,00:52:00,28.57,69.49,180.77,386.07,170.39,0,8.77,33.7,An toan,An toan
01/07/2025,00:54:00,28.81,71.35,132.8,317.05,177.14,0,6.82,27.02,An toan,An toan
01/07/2025,00:56:00,27.94,67.41,150.44,339.31,186.9,0,7.21,27.77,An toan,An toan
01/07/2025,00:58:00,27.85,69.54,165.97,299.5,180.34,0,4.26,36.65,An toan,An toan
01/07/2025,01:00:00,29.45,69.53,177.87,314.15,165.85,0,7.02,38.82,An toan,An toan
01/07/2025,01:02:00,29.81,69.6,147.19,347.02,169.42,0,6.77,26.93,An toan,An toan
01/07/2025,01:04:00,28.94,68.87,157.49,359.53,189.52,0,9.97,38.81,An toan,An toan
01/07/2025,01:06:00,29.22,68.24,163.12,297.48,197.7,0,9.47,36.42,An toan,An toan
01/07/2025,01:08:00,29.18,67.73,164.65,311.68,178.56,0,7.84,34.15,An toan,An toan
01/07/2025,01:10:00,29.0,68.1,152.97,352.98,171.23,0,4.38,20.11,An toan,An toan
01/07/2025,01:12:00,29.94,69.29,197.51,333.76,189.1,0,7.38,30.5,An toan,An toan
01/07/2025,01:14:00,28.91,68.66,154.9,351.58,166.72,0,5.1,39.74,An toan,An toan
01/07/2025,01:16:00,29.06,69.63,135.92,341.45,195.64,0,5.76,27.77,An toan,An toan
01/07/2025,01:18:00,29.64,68.57,184.62,326.14,173.3,0,4.89,35.67,An toan,An toan
01/07/2025,01:20:00,31.07,67.91,153.6,316.96,190.33,0,4.8,29.61,An toan,An toan
01/07/2025,01:22:00,29.99,69.14,167.06,338.5,196.63,0,7.51,27.64,An toan,An toan
01/07/2025,01:24:00,28.64,69.53,153.61,324.9,174.91,0,5.42,29.37,An toan,An toan
01/07/2025,01:26:00,28.8,68.7,152.79,327.54,170.99,0,6.01,34.24,An toan,An toan
01/07/2025,01:28:00,29.24,69.89,174.02,314.56,195.5,0,7.7,27.77,An toan,An toan
01/07/2025,01:30:00,28.52,67.9,169.71,330.49,172.51,0,7.63,29.43,An toan,An toan
01/07/2025,01:32:00,29.71,70.24,130.75,341.61,182.02,0,9.46,29.58,An toan,An toan
01/07/2025,01:34:00,28.84,68.05,177.86,331.86,171.11,0,6.48,27.62,An toan,An toan
01/07/2025,01:36:00,29.84,67.91,152.67,326.01,194.25,0,4.77,29.45,An toan,An toan
01/07/2025,01:38:00,28.08,68.59,161.15,381.41,178.23,0,9.53,34.08,An toan,An toan
01/07/2025,01:40:00,28.93,68.79,155.12,304.72,193.06,0,5.63,37.32,An toan,An toan
01/07/2025,01:42:00,29.45,68.48,149.13,301.45,179.84,0,9.0,35.86,An toan,An toan
01/07/2025,01:44:00,29.64,67.84,156.63,343.93,163.61,0,4.92,24.51,An toan,An toan
01/07/2025,01:46:00,29.26,69.4,138.54,383.64,186.78,0,5.42,36.11,An toan,An toan
01/07/2025,01:48:00,29.41,69.54,172.3,307.46,170.98,0,9.04,24.11,An toan,An toan
01/07/2025,01:50:00,29.81,68.4,152.85,328.26,165.18,0,7.82,21.88,An toan,An toan
01/07/2025,01:52:00,29.62,68.58,154.53,347.21,184.42,0,6.3,23.18,An toan,An toan
01/07/2025,01:54:00,29.01,68.25,157.18,334.87,175.62,0,9.77,25.33,An toan,An toan
01/07/2025,01:56:00,29.94,69.82,167.19,335.76,178.2,0,4.34,39.28,An toan,An toan
01/07/2025,01:58:00,28.84,69.04,152.71,337.14,173.14,0,8.31,31.06,An toan,An toan
01/07/2025,02:00:00,29.6,68.04,159.25,291.79,170.35,0,8.93,37.82,An toan,An toan
01/07/2025,02:02:00,30.86,67.99,145.17,337.95,191.54,0,5.59,32.66,An toan,An toan
01/07/2025,02:04:00,31.14,69.21,132.68,331.65,186.08,0,5.8,30.8,An toan,An toan
01/07/2025,02:06:00,31.14,66.18,175.02,321.45,169.33,0,7.11,28.74,An toan,An toan
01/07/2025,02:08:00,31.0,67.91,175.8,350.0,187.9,0,7.19,38.57,An toan,An toan
01/07/2025,02:10:00,30.61,65.08,140.18,327.6,190.83,0,7.0,38.16,An toan,An toan
01/07/2025,02:12:00,30.43,68.11,168.65,307.39,193.8,0,8.23,35.1,An toan,An toan
01/07/2025,02:14:00,30.52,64.78,148.57,341.36,179.27,0,8.95,35.77,An toan,An toan
01/07/2025,02:16:00,31.02,67.25,153.97,311.07,175.48,0,8.41,20.29,An toan,An toan
01/07/2025,02:18:00,29.44,66.15,168.83,323.01,181.78,0,5.19,32.09,An toan,An toan
01/07/2025,02:20:00,30.4,66.19,149.13,309.61,174.15,0,4.01,39.71,An toan,An toan
01/07/2025,02:22:00,31.33,68.06,141.68,336.22,194.71,0,7.19,22.01,An toan,An toan
01/07/2025,02:24:00,30.96,67.2,159.03,307.85,186.14,0,5.12,26.35,An toan,An toan
01/07/2025,02:26:00,30.12,67.35,158.09,308.05,182.53,0,8.43,21.75,An toan,An toan
01/07/2025,02:28:00,30.84,66.09,127.95,284.73,172.05,0,5.56,21.86,An toan,An toan
01/07/2025,02:30:00,30.17,67.39,154.2,330.05,188.06,0,7.12,36.66,An toan,An toan
01/07/2025,02:32:00,31.03,66.68,136.86,317.28,176.42,0,8.18,26.86,An toan,An toan
01/07/2025,02:34:00,30.66,68.98,150.9,340.49,164.49,0,4.7,29.93,An toan,An toan
01/07/2025,02:36:00,29.7,67.54,125.17,300.55,192.57,0,8.24,30.5,An toan,An toan
01/07/2025,02:38:00,30.52,67.87,145.11,315.42,174.21,0,5.44,24.53,An toan,An toan
