sensor,hour,median,mad,q10,q90,min,max,count
Temp,0,30.134999999999998,1.0199999999999996,28.37,31.831,26.82,33.03,900
Temp,1,31.38,1.0599999999999987,29.64,33.230999999999995,28.08,34.14,900
Temp,2,32.545,1.0450000000000017,30.858,34.421,29.44,35.6,900
Temp,3,33.715,1.1099999999999994,31.78,35.46,30.37,37.64,900
Temp,4,34.51,1.0799999999999983,32.759,36.232,31.39,37.87,900
Temp,5,34.974999999999994,1.0949999999999989,33.17,36.782000000000004,31.67,38.04,900
Temp,6,35.075,1.0549999999999997,33.33,36.99,31.75,38.23,900
Temp,7,35.004999999999995,1.124999999999993,33.21,36.771,31.96,38.13,900
Temp,8,34.495000000000005,1.0349999999999966,32.76,36.190999999999995,31.51,38.16,900
Temp,9,33.61,1.1199999999999974,31.87,35.521,30.55,36.66,900
Temp,10,32.614999999999995,1.0550000000000068,30.85,34.41,29.32,35.96,900
Temp,11,31.48,1.0399999999999991,29.648,33.18,28.19,34.34,900
Temp,12,30.08,1.0500000000000007,28.39,31.991,27.01,33.27,900
Temp,13,28.94,1.0899999999999999,27.03,30.631,25.71,32.09,900
Temp,14,27.66,1.08,25.869,29.54,24.79,30.92,900
Temp,15,26.66,1.0599999999999987,24.87,28.42,23.27,30.1,900
Temp,16,25.87,1.0949999999999989,24.04,27.701999999999998,22.33,29.05,900
Temp,17,25.384999999999998,1.0949999999999989,23.578,27.061,22.28,28.59,900
Temp,18,25.205,1.1149999999999984,23.419,27.041,22.12,28.42,900
Temp,19,25.395,1.0850000000000009,23.64,27.151,22.43,28.67,900
Temp,20,25.93,1.0649999999999995,24.089,27.6,22.92,29.02,900
Temp,21,26.7,1.1050000000000004,24.849,28.441000000000003,23.41,29.71,900
Temp,22,27.795,1.0650000000000013,25.898999999999997,29.43,24.59,31.21,900
Temp,23,28.92,1.0899999999999999,27.18,30.7,25.69,32.09,900
Humidity,0,70.06,0.6599999999999966,68.679,71.26100000000001,66.16,74.16,900
Humidity,1,68.64,0.7000000000000028,67.287,69.98,65.53,71.59,900
Humidity,2,67.495,0.7049999999999983,66.19,68.781,64.68,70.58,900
Humidity,3,66.37,0.6799999999999926,65.15899999999999,67.70100000000001,63.49,69.92,900
Humidity,4,65.74,0.6600000000000037,64.47,66.98,61.78,69.26,900
Humidity,5,65.11,0.6500000000000057,63.869,66.351,62.22,68.06,900
Humidity,6,64.97,0.6800000000000068,63.74,66.28,61.72,68.34,900
Humidity,7,65.16,0.6649999999999991,63.977999999999994,66.43,61.96,68.43,900
Humidity,8,65.61500000000001,0.6950000000000074,64.31899999999999,66.98,62.89,69.33,900
Humidity,9,66.42,0.6700000000000017,65.21,67.75,63.68,69.68,900
Humidity,10,67.52,0.6400000000000006,66.21,68.771,63.53,71.5,900
Humidity,11,68.77,0.6799999999999926,67.419,69.91,65.37,72.43,900
Humidity,12,70.07,0.6199999999999903,68.75,71.26,66.34,73.83,900
Humidity,13,71.3,0.7000000000000028,69.96,72.571,68.37,75.38,900
Humidity,14,72.435,0.6550000000000011,71.219,73.721,69.53,75.03,900
Humidity,15,73.52,0.7000000000000028,72.189,74.921,70.27,76.58,900
Humidity,16,74.305,0.6649999999999991,73.07,75.69,71.33,77.52,900
Humidity,17,74.9,0.7399999999999949,73.51899999999999,76.27,71.48,77.85,900
Humidity,18,75.0,0.6649999999999991,73.689,76.26,71.78,78.45,900
Humidity,19,74.76,0.6400000000000006,73.52,76.032,72.2,78.79,900
Humidity,20,74.265,0.6550000000000011,73.039,75.56,71.07,77.63,900
Humidity,21,73.52,0.6700000000000017,72.22,74.831,69.77,76.82,900
Humidity,22,72.485,0.7049999999999983,71.15,73.76,69.32,76.17,900
Humidity,23,71.32,0.6600000000000108,69.967,72.57,68.22,74.83,900
Mq2,0,151.06,9.64,132.036,169.712,106.7,189.82,900
Mq2,1,154.93,9.399999999999991,137.061,173.667,113.93,213.45,900
