2025-09-04 13:09:53,074 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:09:54,660 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:09:56,261 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:09:57,840 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:09:59,419 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:00,987 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:02,566 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:04,137 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:05,710 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:07,284 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
2025-09-04 13:10:08,870 [INFO] Forecast summary: {'Temp': {'min': 27.525121688842773, 'max': 28.09638023376465, 'last': 28.09638023376465, 'trend': 'up'}, 'Humidity': {'min': 74.83826446533203, 'max': 75.41133880615234, 'last': 74.83826446533203, 'trend': 'down'}, 'Mq2': {'min': 130.11219787597656, 'max': 132.38861083984375, 'last': 132.38861083984375, 'trend': 'up'}, 'Mq5': {'min': 288.6602478027344, 'max': 315.7490234375, 'last': 315.7490234375, 'trend': 'up'}, 'Mq9': {'min': 179.87698364257812, 'max': 180.0642852783203, 'last': 179.92987060546875, 'trend': 'down'}}
