date,time,temperature,humidity,mq2_Smoke,mq5_CH4,mq5_LPG,mq7_CO,M_fire,M_gas,Warning_fire,Warning_gas,Detailed_Analysis_Fire,Detailed_Analysis_Gas,Mode,Relay1,Relay2,Relay3,Relay4,
3/11/2025,0:00:27,29.443,74.74,14.61726,24.99623,19.19953,14.14348,16.62053,0.9304,An toan,An toan,"Nhi?t ?? 29.4?C, ?? ?m 74.7%, Kh? CO th?p (14.1 ppm), M?c ch?y: An to?n","Kh? CH4 (25.0 ppm), LPG (19.2 ppm), CO (14.1 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:01:45,29.504,72.534,14.68235,26.97018,19.23109,14.67019,26.92478,0.59001,An toan,An toan,"Nhi?t ?? 29.5?C, ?? ?m 72.5%, Kh? CO th?p (14.7 ppm), M?c ch?y: An to?n","Kh? CH4 (27.0 ppm), LPG (19.2 ppm), CO (14.7 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:05:24,29.001,75.529,15.02645,25.74066,17.31235,13.29182,14.99516,0.49789,An toan,An toan,"Nhi?t ?? 29.0?C, ?? ?m 75.5%, Kh? CO th?p (13.3 ppm), M?c ch?y: An to?n","Kh? CH4 (25.7 ppm), LPG (17.3 ppm), CO (13.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:05:42,29.786,76.393,14.61721,25.83414,19.94418,14.00746,13.86805,0.71474,An toan,An toan,"Nhi?t ?? 29.8?C, ?? ?m 76.4%, Kh? CO th?p (14.0 ppm), M?c ch?y: An to?n","Kh? CH4 (25.8 ppm), LPG (19.9 ppm), CO (14.0 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:06:03,30.8,77.737,14.66215,25.98468,17.5176,14.86823,20.16452,0.75615,An toan,An toan,"Nhi?t ?? 30.8?C, ?? ?m 77.7%, Kh? CO th?p (14.9 ppm), M?c ch?y: An to?n","Kh? CH4 (26.0 ppm), LPG (17.5 ppm), CO (14.9 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:08:20,29.37,69.168,15.77709,24.52793,19.55177,13.4263,23.46014,0.20541,An toan,An toan,"Nhi?t ?? 29.4?C, ?? ?m 69.2%, Kh? CO th?p (13.4 ppm), M?c ch?y: An to?n","Kh? CH4 (24.5 ppm), LPG (19.6 ppm), CO (13.4 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:13:38,30.533,78.638,15.96289,26.9537,18.93188,13.28235,11.03266,0.90404,An toan,An toan,"Nhi?t ?? 30.5?C, ?? ?m 78.6%, Kh? CO th?p (13.3 ppm), M?c ch?y: An to?n","Kh? CH4 (27.0 ppm), LPG (18.9 ppm), CO (13.3 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:17:28,29.799,70.381,15.14071,25.08686,18.09663,14.55514,22.94463,0.7387,An toan,An toan,"Nhi?t ?? 29.8?C, ?? ?m 70.4%, Kh? CO th?p (14.6 ppm), M?c ch?y: An to?n","Kh? CH4 (25.1 ppm), LPG (18.1 ppm), CO (14.6 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:20:41,30.967,78.585,15.91361,26.36785,18.35607,14.10451,17.13411,0.67449,An toan,An toan,"Nhi?t ?? 31.0?C, ?? ?m 78.6%, Kh? CO th?p (14.1 ppm), M?c ch?y: An to?n","Kh? CH4 (26.4 ppm), LPG (18.4 ppm), CO (14.1 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
3/11/2025,0:26:52,30.276,72.401,14.69747,25.64295,18.08478,13.05905,21.40718,0.36653,An toan,An toan,"Nhi?t ?? 30.3?C, ?? ?m 72.4%, Kh? CO th?p (13.1 ppm), M?c ch?y: An to?n","Kh? CH4 (25.6 ppm), LPG (18.1 ppm), CO (13.1 ppm), M?c kh? gas: An to?n",Auto,OFF,OFF,OFF,OFF,
